2025/07/02 12:46:01 [error] 22#22: *54 access forbidden by rule, client: 106.195.2.33, server: , request: "GET / HTTP/1.1", host: "20.198.20.33"
2025/07/02 13:34:17 [error] 22#22: *58 access forbidden by rule, client: 122.97.214.240, server: , request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:80"
2025/07/02 14:07:17 [error] 22#22: *61 access forbidden by rule, client: 3.131.215.38, server: , request: "GET / HTTP/1.1", host: "20.198.20.33"
2025/07/02 14:09:29 [error] 22#22: *62 access forbidden by rule, client: 3.131.215.38, server: , request: "GET / HTTP/1.1", host: "20.198.20.33"
2025/07/02 14:33:51 [error] 22#22: *66 access forbidden by rule, client: 204.76.203.206, server: , request: "GET / HTTP/1.1", host: "20.198.20.33:80"
2025/07/02 15:18:06 [error] 22#22: *68 access forbidden by rule, client: 176.65.148.229, server: , request: "GET / HTTP/1.1", host: "20.198.20.33:80"
2025/07/02 15:27:59 [error] 22#22: *69 access forbidden by rule, client: 80.251.153.117, server: , request: "GET / HTTP/1.1", host: "20.198.20.33:80"
2025/07/02 15:36:09 [error] 22#22: *70 access forbidden by rule, client: 167.94.138.116, server: , request: "GET / HTTP/1.1", host: "20.198.20.33"
2025/07/02 15:36:19 [error] 22#22: *72 access forbidden by rule, client: 167.94.138.116, server: , request: "GET /favicon.ico HTTP/1.1", host: "20.198.20.33"
2025/07/02 15:36:26 [error] 22#22: *75 access forbidden by rule, client: 167.94.138.116, server: , request: "GET /.well-known/security.txt HTTP/1.1", host: "20.198.20.33"
2025/07/02 15:37:47 [error] 22#22: *76 access forbidden by rule, client: 87.121.84.212, server: , request: "GET / HTTP/1.1", host: "20.198.20.33:80"
2025/07/02 16:00:08 [error] 22#22: *77 access forbidden by rule, client: 79.124.58.198, server: , request: "GET / HTTP/1.1", host: "20.198.20.33:80"
2025/07/02 16:12:11 [error] 22#22: *78 access forbidden by rule, client: 176.65.149.178, server: , request: "POST /boaform/admin/formLogin HTTP/1.1", host: "20.198.20.33:80", referrer: "http://20.198.20.33:80/admin/login.asp"
2025/07/02 16:13:26 [error] 22#22: *79 access forbidden by rule, client: 79.124.58.198, server: , request: "GET / HTTP/1.1", host: "20.198.20.33:80"
2025/07/02 16:27:36 [error] 22#22: *80 access forbidden by rule, client: 176.65.148.183, server: , request: "GET /.env HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:00 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /.git/ HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:00 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /.git/config HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:00 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /.git/HEAD HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:00 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /.git/index HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:01 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /phpinfo.php HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:01 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /.env HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:01 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /actuator/env HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:01 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /app.js HTTP/1.1", host: "20.198.20.33"
2025/07/02 16:43:01 [error] 22#22: *81 access forbidden by rule, client: 185.177.72.205, server: , request: "GET /main.js HTTP/1.1", host: "20.198.20.33"
